Title,Difficulty Level,Submissions,Accepted,Acceptance Rate,Likes,Comments,Tags
1. Two Sum,Easy,27.7M,15M,54.1%,58.6K,1.1K,"array, hash-table"
2. Add Two Numbers,Medium,11.5M,5.1M,44.4%,31.9K,694,"linked-list, math, recursion"
3. Longest Substring Without Repeating Characters,Medium,18.2M,6.5M,35.6%,40.5K,422,"hash-table, string, sliding-window"
4. Median of Two Sorted Arrays,Hard,7M,2.9M,41.8%,28.9K,522,"array, binary-search, divide-and-conquer"
5. Longest Palindromic Substring,Medium,9.8M,3.4M,34.6%,29.8K,348,"two-pointers, string, dynamic-programming"
6. Zigzag Conversion,Medium,3M,1.5M,49.6%,7.9K,322,string
7. Reverse Integer,Medium,12.2M,3.6M,29.3%,13.4K,420,math
8. String to Integer (atoi),Medium,9.5M,1.7M,18.1%,4.8K,579,string
9. Palindrome Number,Easy,9.3M,5.4M,57.8%,13.1K,453,math
10. Regular Expression Matching,Hard,3.7M,1M,28.5%,12.3K,376,"string, dynamic-programming, recursion"
11. Container With Most Water,Medium,6.1M,3.4M,56.4%,29.8K,380,"array, two-pointers, greedy"
12. Integer to Roman,Medium,2.2M,1.5M,66.6%,7.4K,97,"hash-table, math, string"
13. Roman to Integer,Easy,6.6M,4.2M,63.0%,14.8K,348,"hash-table, math, string"
14. Longest Common Prefix,Easy,8.7M,3.9M,44.1%,18.1K,366,"string, trie"
15. 3Sum,Medium,11.3M,4M,35.6%,31.5K,466,"array, two-pointers, sorting"
16. 3Sum Closest,Medium,2.9M,1.3M,46.2%,10.6K,104,"array, two-pointers, sorting"
17. Letter Combinations of a Phone Number,Medium,3.6M,2.3M,62.1%,19K,205,"hash-table, string, backtracking"
18. 4Sum,Medium,2.9M,1.1M,36.9%,11.6K,221,"array, two-pointers, sorting"
19. Remove Nth Node From End of List,Medium,6.5M,3.1M,47.0%,19.2K,205,"linked-list, two-pointers"
20. Valid Parentheses,Easy,12.7M,5.2M,41.2%,24.6K,421,"string, stack"
21. Merge Two Sorted Lists,Easy,7.1M,4.6M,65.5%,22.3K,345,"linked-list, recursion"
22. Generate Parentheses,Medium,2.7M,2M,75.7%,21.5K,132,"string, dynamic-programming, backtracking"
23. Merge k Sorted Lists,Hard,4M,2.2M,54.5%,19.8K,209,"linked-list, divide-and-conquer, heap-priority-queue, merge-sort"
24. Swap Nodes in Pairs,Medium,2.3M,1.5M,65.6%,12.1K,93,"linked-list, recursion"
25. Reverse Nodes in k-Group,Hard,1.7M,1.1M,60.8%,14K,138,"linked-list, recursion"
26. Remove Duplicates from Sorted Array,Easy,8.9M,5.2M,58.1%,15.3K,687,"array, two-pointers"
27. Remove Element,Easy,6M,3.5M,58.5%,3K,556,"array, two-pointers"
28. Find the Index of the First Occurrence in a String,Easy,6.5M,2.8M,43.7%,6.2K,290,"two-pointers, string, string-matching"
29. Divide Two Integers,Medium,4.6M,826.5K,17.8%,5.3K,260,"math, bit-manipulation"
30. Substring with Concatenation of All Words,Hard,1.5M,502.3K,32.5%,2K,162,"hash-table, string, sliding-window"
31. Next Permutation,Medium,3.7M,1.5M,41.4%,18.8K,249,"array, two-pointers"
32. Longest Valid Parentheses,Hard,2.3M,806.2K,35.0%,12.5K,74,"string, dynamic-programming, stack"
33. Search in Rotated Sorted Array,Medium,7.4M,3.1M,41.7%,26.8K,268,"array, binary-search"
34. Find First and Last Position of Element in Sorted Array,Medium,5.1M,2.3M,45.4%,20.9K,214,"array, binary-search"
35. Search Insert Position,Easy,6.9M,3.3M,47.5%,16.6K,210,"array, binary-search"
36. Valid Sudoku,Medium,2.8M,1.7M,60.8%,11K,154,"array, hash-table, matrix"
37. Sudoku Solver,Hard,1.1M,665.9K,63.2%,9.7K,90,"array, hash-table, backtracking, matrix"
38. Count and Say,Medium,1.8M,1M,56.8%,4.1K,147,string
39. Combination Sum,Medium,3M,2.2M,73.0%,19.2K,107,"array, backtracking"
40. Combination Sum II,Medium,2.1M,1.2M,56.6%,11.1K,142,"array, backtracking"
41. First Missing Positive,Hard,3.3M,1.3M,40.1%,17.1K,287,"array, hash-table"
